ID_pred,pred,ID_target,target,Aux_ID,Aux_pred,Equipo
AF200828_8573373,Drosophila_melanogaster,AF200828_8573373,Drosophila_melanogaster,TRUE,TRUE,Frutilleros
AF200829_8573387,Drosophila_melanogaster,AF200829_8573387,Drosophila_melanogaster,TRUE,TRUE,Frutilleros
AF200839_8573527,Drosophila_simulans,AF200839_8573527,Drosophila_simulans,TRUE,TRUE,Frutilleros
AF200842_8573569,Drosophila_simulans,AF200842_8573569,Drosophila_simulans,TRUE,TRUE,Frutilleros
AF200846_8573625,Drosophila_simulans,AF200846_8573625,Drosophila_simulans,TRUE,TRUE,Frutilleros
AY154408_25989948,Drosophila_subquinaria,AY154408_25989948,Drosophila_subquinaria,TRUE,TRUE,Frutilleros
AY154413_25989958,Drosophila_subquinaria,AY154413_25989958,Drosophila_subquinaria,TRUE,TRUE,Frutilleros
AY154414_25989960,Drosophila_subquinaria,AY154414_25989960,Drosophila_subquinaria,TRUE,TRUE,Frutilleros
AY154417_25989966,Drosophila_subquinaria,AY154417_25989966,Drosophila_subquinaria,TRUE,TRUE,Frutilleros
AY154424_25989980,Drosophila_subquinaria,AY154424_25989980,Drosophila_subquinaria,TRUE,TRUE,Frutilleros
AY154427_25989986,Drosophila_recens,AY154427_25989986,Drosophila_recens,TRUE,TRUE,Frutilleros
AY154430_25989992,Drosophila_recens,AY154430_25989992,Drosophila_recens,TRUE,TRUE,Frutilleros
AY154437_25990006,Drosophila_recens,AY154437_25990006,Drosophila_recens,TRUE,TRUE,Frutilleros
AY154438_25990008,Drosophila_recens,AY154438_25990008,Drosophila_recens,TRUE,TRUE,Frutilleros
AY154439_25990010,Drosophila_recens,AY154439_25990010,Drosophila_recens,TRUE,TRUE,Frutilleros
AY154448_25990028,Drosophila_recens,AY154448_25990028,Drosophila_recens,TRUE,TRUE,Frutilleros
AY154450_25990032,Drosophila_recens,AY154450_25990032,Drosophila_recens,TRUE,TRUE,Frutilleros
