ID_pred,pred,ID_target,target,Aux_ID,Aux_pred,Equipo
AF200828_8573373,Drosophila_melanogaster,AF200828_8573373,Drosophila_melanogaster,TRUE,TRUE,Heliconius
AF200829_8573387,Drosophila_melanogaster,AF200829_8573387,Drosophila_melanogaster,TRUE,TRUE,Heliconius
AF200839_8573527,Drosophila_simulans,AF200839_8573527,Drosophila_simulans,TRUE,TRUE,Heliconius
AF200842_8573569,Drosophila_simulans,AF200842_8573569,Drosophila_simulans,TRUE,TRUE,Heliconius
AF200846_8573625,Drosophila_simulans,AF200846_8573625,Drosophila_simulans,TRUE,TRUE,Heliconius
AY154408_25989948,Drosophila_subquinaria,AY154408_25989948,Drosophila_subquinaria,TRUE,TRUE,Heliconius
AY154413_25989958,Drosophila_subquinaria,AY154413_25989958,Drosophila_subquinaria,TRUE,TRUE,Heliconius
AY154414_25989960,Drosophila_subquinaria,AY154414_25989960,Drosophila_subquinaria,TRUE,TRUE,Heliconius
AY154417_25989966,Drosophila_subquinaria,AY154417_25989966,Drosophila_subquinaria,TRUE,TRUE,Heliconius
AY154424_25989980,Drosophila_subquinaria,AY154424_25989980,Drosophila_subquinaria,TRUE,TRUE,Heliconius
AY154427_25989986,Drosophila_recens,AY154427_25989986,Drosophila_recens,TRUE,TRUE,Heliconius
AY154430_25989992,Drosophila_recens,AY154430_25989992,Drosophila_recens,TRUE,TRUE,Heliconius
AY154437_25990006,Drosophila_recens,AY154437_25990006,Drosophila_recens,TRUE,TRUE,Heliconius
AY154438_25990008,Drosophila_recens,AY154438_25990008,Drosophila_recens,TRUE,TRUE,Heliconius
AY154439_25990010,Drosophila_recens,AY154439_25990010,Drosophila_recens,TRUE,TRUE,Heliconius
AY154448_25990028,Drosophila_recens,AY154448_25990028,Drosophila_recens,TRUE,TRUE,Heliconius
AY154450_25990032,Drosophila_recens,AY154450_25990032,Drosophila_recens,TRUE,TRUE,Heliconius
AY154451_25990034,Drosophila_recens,AY154451_25990034,Drosophila_recens,TRUE,TRUE,Heliconius
AY154453_25990038,Drosophila_recens,AY154453_25990038,Drosophila_recens,TRUE,TRUE,Heliconius
AY154457_25990046,Drosophila_recens,AY154457_25990046,Drosophila_subquinaria,TRUE,FALSE,Heliconius
AY518670_40795358,Drosophila_simulans,AY518670_40795358,Drosophila_simulans,TRUE,TRUE,Heliconius
AY518673_40795400,Drosophila_simulans,AY518673_40795400,Drosophila_simulans,TRUE,TRUE,Heliconius
AY533717_42601537,Drosophila_pachea,AY533717_42601537,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533718_42601539,Drosophila_pachea,AY533718_42601539,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533719_42601541,Drosophila_pachea,AY533719_42601541,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533721_42601545,Drosophila_pachea,AY533721_42601545,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533729_42601561,Drosophila_pachea,AY533729_42601561,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533734_42601571,Drosophila_pachea,AY533734_42601571,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533738_42601579,Drosophila_pachea,AY533738_42601579,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533745_42601593,Drosophila_pachea,AY533745_42601593,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533759_42601621,Drosophila_pachea,AY533759_42601621,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533763_42601629,Drosophila_pachea,AY533763_42601629,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533768_42601639,Drosophila_pachea,AY533768_42601639,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533771_42601645,Drosophila_pachea,AY533771_42601645,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533773_42601649,Drosophila_pachea,AY533773_42601649,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533777_42601657,Drosophila_pachea,AY533777_42601657,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533784_42601671,Drosophila_pachea,AY533784_42601671,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533786_42601675,Drosophila_pachea,AY533786_42601675,Drosophila_pachea,TRUE,TRUE,Heliconius
AY533790_42601683,Drosophila_mettleri,AY533790_42601683,Drosophila_mettleri,TRUE,TRUE,Heliconius
AY533793_42601689,Drosophila_mettleri,AY533793_42601689,Drosophila_mettleri,TRUE,TRUE,Heliconius
AY533797_42601697,Drosophila_mettleri,AY533797_42601697,Drosophila_mettleri,TRUE,TRUE,Heliconius
AY533802_42601707,Drosophila_mettleri,AY533802_42601707,Drosophila_mettleri,TRUE,TRUE,Heliconius
